"row","pop_group","age_group","indicator_category","indicator","value","n","sum","Year","row_index"
NA,"Rest of pop","03-18","Housing","Address type","""Youth, school or Scout/Guide",132,"NULL",2018,8463
NA,"Rest of pop","03-18","Housing","Address type","Boarding house",195,"NULL",2018,8464
NA,"Rest of pop","03-18","Housing","Address type","Communal staff quarters",84,"NULL",2018,8465
NA,"Rest of pop","03-18","Housing","Address type","Defence establishment",84,"NULL",2018,8466
NA,"Rest of pop","03-18","Housing","Address type","Dwelling in a motor camp",252,"NULL",2018,8467
NA,"Rest of pop","03-18","Housing","Address type","Educational institution",7398,"NULL",2018,8468
NA,"Rest of pop","03-18","Housing","Address type","Improvised dwelling or shelter",1473,"NULL",2018,8469
NA,"Rest of pop","03-18","Housing","Address type","Joined dwelling in a four to s",975,"NULL",2018,8470
NA,"Rest of pop","03-18","Housing","Address type","Joined dwelling in a one store",31722,"NULL",2018,8471
NA,"Rest of pop","03-18","Housing","Address type","Joined dwelling in a seven to",348,"NULL",2018,8472
NA,"Rest of pop","03-18","Housing","Address type","Joined dwelling in a ten or mo",471,"NULL",2018,8473
NA,"Rest of pop","03-18","Housing","Address type","Joined dwelling in a two or th",28401,"NULL",2018,8474
NA,"Rest of pop","03-18","Housing","Address type","Joined dwelling no storey info",10494,"NULL",2018,8475
NA,"Rest of pop","03-18","Housing","Address type","Marae complex",186,"NULL",2018,8476
NA,"Rest of pop","03-18","Housing","Address type","Mobile dwelling not in a motor",1464,"NULL",2018,8477
NA,"Rest of pop","03-18","Housing","Address type","Motor camp/camping ground",441,"NULL",2018,8478
NA,"Rest of pop","03-18","Housing","Address type","Night shelter",6,"NULL",2018,8479
NA,"Rest of pop","03-18","Housing","Address type","Non-private dwelling not furth",6,"NULL",2018,8480
NA,"Rest of pop","03-18","Housing","Address type","NULL",9810,"NULL",2018,8481
NA,"Rest of pop","03-18","Housing","Address type","Prison or penal institution",66,"NULL",2018,8482
NA,"Rest of pop","03-18","Housing","Address type","Private hospital",0,"NULL",2018,8483
NA,"Rest of pop","03-18","Housing","Address type","Public hospital",6,"NULL",2018,8484
NA,"Rest of pop","03-18","Housing","Address type","Religious institution",327,"NULL",2018,8485
NA,"Rest of pop","03-18","Housing","Address type","Residential and community care",210,"NULL",2018,8486
NA,"Rest of pop","03-18","Housing","Address type","Residential care for older peo",54,"NULL",2018,8487
NA,"Rest of pop","03-18","Housing","Address type","Roofless or rough sleeper",12,"NULL",2018,8488
NA,"Rest of pop","03-18","Housing","Address type","Separate house no storey infor",68868,"NULL",2018,8489
NA,"Rest of pop","03-18","Housing","Address type","Separate house with one storey",582252,"NULL",2018,8490
NA,"Rest of pop","03-18","Housing","Address type","Separate house with two or mor",231939,"NULL",2018,8491
NA,"Rest of pop","03-18","Housing","Address type","Welfare institution",138,"NULL",2018,8492
NA,"Rest of pop","03-18","Housing","In public housing","0",942171,"NULL",2018,8493
NA,"Rest of pop","03-18","Housing","In public housing","1",37740,"NULL",2018,8494
NA,"Rest of pop","03-18","Housing","Live with grandparent","0",946770,"NULL",2018,8495
NA,"Rest of pop","03-18","Housing","Live with grandparent","1",33144,"NULL",2018,8496
NA,"Rest of pop","03-18","Housing","Live with parent","0",330786,"NULL",2018,8497
NA,"Rest of pop","03-18","Housing","Live with parent","1",649125,"NULL",2018,8498
NA,"Rest of pop","03-18","Housing","On social housing waitlist","0",973725,"NULL",2018,8499
NA,"Rest of pop","03-18","Housing","On social housing waitlist","1",6186,"NULL",2018,8500
NA,"Rest of pop","03-18","Housing","Parent accomodation supplement","0",768252,"NULL",2018,8501
NA,"Rest of pop","03-18","Housing","Parent accomodation supplement","1",211662,"NULL",2018,8502
NA,"Rest of pop","03-18","Justice","Offender - any offence","0",956109,"NULL",2018,8503
NA,"Rest of pop","03-18","Justice","Offender - any offence","1",23802,"NULL",2018,8504
NA,"Rest of pop","03-18","Justice","Offender - violent offence","0",973371,"NULL",2018,8505
NA,"Rest of pop","03-18","Justice","Offender - violent offence","1",6540,"NULL",2018,8506
NA,"Rest of pop","03-18","Justice","Served community sentence ever","0",979086,"NULL",2018,8507
NA,"Rest of pop","03-18","Justice","Served community sentence ever","1",828,"NULL",2018,8508
NA,"Rest of pop","03-18","Justice","Served community sentence in 2018","0",979359,"NULL",2018,8509
NA,"Rest of pop","03-18","Justice","Served community sentence in 2018","1",552,"NULL",2018,8510
NA,"Rest of pop","03-18","Justice","Served custodial sentence ever","0",979449,"NULL",2018,8511
NA,"Rest of pop","03-18","Justice","Served custodial sentence ever","1",465,"NULL",2018,8512
NA,"Rest of pop","03-18","Justice","Served custodial sentence in 2018","0",979758,"NULL",2018,8513
NA,"Rest of pop","03-18","Justice","Served custodial sentence in 2018","1",156,"NULL",2018,8514
NA,"Rest of pop","03-18","Justice","Victim - any offence","0",948705,"NULL",2018,8515
NA,"Rest of pop","03-18","Justice","Victim - any offence","1",31209,"NULL",2018,8516
NA,"Rest of pop","03-18","Justice","Victim - violent offence","0",955896,"NULL",2018,8517
NA,"Rest of pop","03-18","Justice","Victim - violent offence","1",24015,"NULL",2018,8518
NA,"Rest of pop","03-18","Need","ACC - Case management","0",974985,"NULL",2018,8519
NA,"Rest of pop","03-18","Need","ACC - Case management","1",4929,"NULL",2018,8520
NA,"Rest of pop","03-18","Need","ACC - Sensitive claim","0",977838,"NULL",2018,8521
NA,"Rest of pop","03-18","Need","ACC - Sensitive claim","1",2076,"NULL",2018,8522
NA,"Rest of pop","03-18","Need","ACC - Serious injury","0",979821,"NULL",2018,8523
NA,"Rest of pop","03-18","Need","ACC - Serious injury","1",93,"NULL",2018,8524
NA,"Rest of pop","03-18","Need","ACC - Workers Compensation","0",979596,"NULL",2018,8525
NA,"Rest of pop","03-18","Need","ACC - Workers Compensation","1",321,"NULL",2018,8526
NA,"Rest of pop","03-18","Need","ADHD","0",973296,"NULL",2018,8527
NA,"Rest of pop","03-18","Need","ADHD","1",6621,"NULL",2018,8528
NA,"Rest of pop","03-18","Need","Amputation of hand/arm","0",979767,"NULL",2018,8529
NA,"Rest of pop","03-18","Need","Amputation of hand/arm","1",144,"NULL",2018,8530
NA,"Rest of pop","03-18","Need","Ataxia","0",979839,"NULL",2018,8531
NA,"Rest of pop","03-18","Need","Ataxia","1",75,"NULL",2018,8532
NA,"Rest of pop","03-18","Need","Autism Spectrum Disorder","0",975327,"NULL",2018,8533
NA,"Rest of pop","03-18","Need","Autism Spectrum Disorder","1",4584,"NULL",2018,8534
NA,"Rest of pop","03-18","Need","Bipolar","0",979707,"NULL",2018,8535
NA,"Rest of pop","03-18","Need","Bipolar","1",204,"NULL",2018,8536
NA,"Rest of pop","03-18","Need","Blind or nearly blind","0",979698,"NULL",2018,8537
NA,"Rest of pop","03-18","Need","Blind or nearly blind","1",219,"NULL",2018,8538
NA,"Rest of pop","03-18","Need","Cerebral Palsy","0",979488,"NULL",2018,8539
NA,"Rest of pop","03-18","Need","Cerebral Palsy","1",426,"NULL",2018,8540
NA,"Rest of pop","03-18","Need","Deaf or nearly deaf","0",978534,"NULL",2018,8541
NA,"Rest of pop","03-18","Need","Deaf or nearly deaf","1",1380,"NULL",2018,8542
NA,"Rest of pop","03-18","Need","Developmental Delay","0",962574,"NULL",2018,8543
NA,"Rest of pop","03-18","Need","Developmental Delay","1",17340,"NULL",2018,8544
NA,"Rest of pop","03-18","Need","Down Syndrome","0",979776,"NULL",2018,8545
NA,"Rest of pop","03-18","Need","Down Syndrome","1",138,"NULL",2018,8546
NA,"Rest of pop","03-18","Need","Foetal Alcohol Spectrum Disorder","0",979737,"NULL",2018,8547
NA,"Rest of pop","03-18","Need","Foetal Alcohol Spectrum Disorder","1",180,"NULL",2018,8548
NA,"Rest of pop","03-18","Need","Fragile X","0",979908,"NULL",2018,8549
NA,"Rest of pop","03-18","Need","Fragile X","1",0,"NULL",2018,8550
NA,"Rest of pop","03-18","Need","Generalised Anxiety Disorder","0",978285,"NULL",2018,8551
NA,"Rest of pop","03-18","Need","Generalised Anxiety Disorder","1",1632,"NULL",2018,8552
NA,"Rest of pop","03-18","Need","Huntingtons","0",979911,"NULL",2018,8553
NA,"Rest of pop","03-18","Need","Incontinence (faecal/urinary)","0",975681,"NULL",2018,8554
NA,"Rest of pop","03-18","Need","Incontinence (faecal/urinary)","1",4233,"NULL",2018,8555
NA,"Rest of pop","03-18","Need","Intellectual Disability","0",977439,"NULL",2018,8556
NA,"Rest of pop","03-18","Need","Intellectual Disability","1",2475,"NULL",2018,8557
NA,"Rest of pop","03-18","Need","Klinefelters Syndrome","0",979878,"NULL",2018,8558
NA,"Rest of pop","03-18","Need","Klinefelters Syndrome","1",36,"NULL",2018,8559
NA,"Rest of pop","03-18","Need","Major Depressive Disorder","0",964638,"NULL",2018,8560
NA,"Rest of pop","03-18","Need","Major Depressive Disorder","1",15276,"NULL",2018,8561
NA,"Rest of pop","03-18","Need","Motor Neuron Disease","0",979911,"NULL",2018,8562
NA,"Rest of pop","03-18","Need","Multiple Sclerosis","0",979893,"NULL",2018,8563
NA,"Rest of pop","03-18","Need","Multiple Sclerosis","1",21,"NULL",2018,8564
NA,"Rest of pop","03-18","Need","Muscular Dystrophy","0",979851,"NULL",2018,8565
NA,"Rest of pop","03-18","Need","Muscular Dystrophy","1",63,"NULL",2018,8566
NA,"Rest of pop","03-18","Need","Osteoarthritis","0",963477,"NULL",2018,8567
NA,"Rest of pop","03-18","Need","Osteoarthritis","1",16437,"NULL",2018,8568
NA,"Rest of pop","03-18","Need","Polio","0",979911,"NULL",2018,8569
NA,"Rest of pop","03-18","Need","Schizophrenia","0",979632,"NULL",2018,8570
NA,"Rest of pop","03-18","Need","Schizophrenia","1",282,"NULL",2018,8571
NA,"Rest of pop","03-18","Need","Spina Bifida","0",979773,"NULL",2018,8572
NA,"Rest of pop","03-18","Need","Spina Bifida","1",141,"NULL",2018,8573
NA,"Rest of pop","03-18","Need","Stroke","0",979572,"NULL",2018,8574
NA,"Rest of pop","03-18","Need","Stroke","1",0,"NULL",2018,8575
NA,"Rest of pop","03-18","Need","Stroke","2",18,"NULL",2018,8576
NA,"Rest of pop","03-18","Need","Stroke","3",324,"NULL",2018,8577
NA,"Rest of pop","03-18","Need","WGSS - Communication","1",648651,"NULL",2018,8578
NA,"Rest of pop","03-18","Need","WGSS - Communication","2",18756,"NULL",2018,8579
NA,"Rest of pop","03-18","Need","WGSS - Communication","5",312507,"NULL",2018,8580
NA,"Rest of pop","03-18","Need","WGSS - Hearing","1",649251,"NULL",2018,8581
NA,"Rest of pop","03-18","Need","WGSS - Hearing","2",16512,"NULL",2018,8582
NA,"Rest of pop","03-18","Need","WGSS - Hearing","5",314151,"NULL",2018,8583
NA,"Rest of pop","03-18","Need","WGSS - Remembering","1",612429,"NULL",2018,8584
NA,"Rest of pop","03-18","Need","WGSS - Remembering","2",53208,"NULL",2018,8585
NA,"Rest of pop","03-18","Need","WGSS - Remembering","5",314277,"NULL",2018,8586
NA,"Rest of pop","03-18","Need","WGSS - Seeing","1",627390,"NULL",2018,8587
NA,"Rest of pop","03-18","Need","WGSS - Seeing","2",38682,"NULL",2018,8588
NA,"Rest of pop","03-18","Need","WGSS - Seeing","5",313842,"NULL",2018,8589
NA,"Rest of pop","03-18","Need","WGSS - Walking","1",658869,"NULL",2018,8590
NA,"Rest of pop","03-18","Need","WGSS - Walking","2",6774,"NULL",2018,8591
NA,"Rest of pop","03-18","Need","WGSS - Walking","5",314268,"NULL",2018,8592
NA,"Rest of pop","03-18","Need","WGSS - Washing","1",659991,"NULL",2018,8593
NA,"Rest of pop","03-18","Need","WGSS - Washing","2",5844,"NULL",2018,8594
NA,"Rest of pop","03-18","Need","WGSS - Washing","5",314073,"NULL",2018,8595
NA,"Rest of pop","03-18","Need","Wheelchair dependence","0",976605,"NULL",2018,8596
NA,"Rest of pop","03-18","Need","Wheelchair dependence","1",3306,"NULL",2018,8597
NA,"Rest of pop","03-18","Oranga Tamariki","Person has any drivers licence","0",866484,"NULL",2018,8598
NA,"Rest of pop","03-18","Oranga Tamariki","Person has any drivers licence","1",113430,"NULL",2018,8599
NA,"Rest of pop","03-18","Oranga Tamariki","Person has full drivers licence","0",966084,"NULL",2018,8600
NA,"Rest of pop","03-18","Oranga Tamariki","Person has full drivers licence","1",13830,"NULL",2018,8601
NA,"Rest of pop","03-18","Oranga Tamariki","Person has had care placement","0",979830,"NULL",2018,8602
NA,"Rest of pop","03-18","Oranga Tamariki","Person has had care placement","1",84,"NULL",2018,8603
NA,"Rest of pop","03-18","Oranga Tamariki","Person is subject of a ROC","0",786159,"NULL",2018,8604
NA,"Rest of pop","03-18","Oranga Tamariki","Person is subject of a ROC","1",193752,"NULL",2018,8605
NA,"Rest of pop","03-18","Oranga Tamariki","Person is subject of investigation","0",832329,"NULL",2018,8606
NA,"Rest of pop","03-18","Oranga Tamariki","Person is subject of investigation","1",147585,"NULL",2018,8607
NA,"Rest of pop","03-18","Oranga Tamariki","Persons child has had care placement","1",84,"NULL",2018,8608
NA,"Rest of pop","03-18","Oranga Tamariki","Persons child has had care placement","NULL",979830,"NULL",2018,8609
NA,"Rest of pop","03-18","Oranga Tamariki","Persons child is subject of a ROC","0",1380,"NULL",2018,8610
NA,"Rest of pop","03-18","Oranga Tamariki","Persons child is subject of a ROC","1",615,"NULL",2018,8611
NA,"Rest of pop","03-18","Oranga Tamariki","Persons child is subject of a ROC","NULL",977919,"NULL",2018,8612
NA,"Rest of pop","03-18","Oranga Tamariki","Persons child is subject of investigation","0",1539,"NULL",2018,8613
NA,"Rest of pop","03-18","Oranga Tamariki","Persons child is subject of investigation","1",459,"NULL",2018,8614
NA,"Rest of pop","03-18","Oranga Tamariki","Persons child is subject of investigation","NULL",977919,"NULL",2018,8615
NA,"Rest of pop","03-18","Oranga Tamariki","Persons parent has any drivers licence","0",274683,"NULL",2018,8616
NA,"Rest of pop","03-18","Oranga Tamariki","Persons parent has any drivers licence","1",705228,"NULL",2018,8617
NA,"Rest of pop","03-18","Oranga Tamariki","Persons parent has full drivers licence","0",429234,"NULL",2018,8618
NA,"Rest of pop","03-18","Oranga Tamariki","Persons parent has full drivers licence","1",550680,"NULL",2018,8619
NA,"Rest of pop","03-18","Parent SES","Parent 1 highest qual (NQF)","0",51015,"NULL",2018,8620
NA,"Rest of pop","03-18","Parent SES","Parent 1 highest qual (NQF)","1",78162,"NULL",2018,8621
NA,"Rest of pop","03-18","Parent SES","Parent 1 highest qual (NQF)","2",88020,"NULL",2018,8622
NA,"Rest of pop","03-18","Parent SES","Parent 1 highest qual (NQF)","3",120342,"NULL",2018,8623
NA,"Rest of pop","03-18","Parent SES","Parent 1 highest qual (NQF)","4",92205,"NULL",2018,8624
NA,"Rest of pop","03-18","Parent SES","Parent 1 highest qual (NQF)","5",68286,"NULL",2018,8625
NA,"Rest of pop","03-18","Parent SES","Parent 1 highest qual (NQF)","6",39948,"NULL",2018,8626
NA,"Rest of pop","03-18","Parent SES","Parent 1 highest qual (NQF)","7",152850,"NULL",2018,8627
NA,"Rest of pop","03-18","Parent SES","Parent 1 highest qual (NQF)","8",64458,"NULL",2018,8628
NA,"Rest of pop","03-18","Parent SES","Parent 1 highest qual (NQF)","9",26949,"NULL",2018,8629
NA,"Rest of pop","03-18","Parent SES","Parent 1 highest qual (NQF)","10",5268,"NULL",2018,8630
NA,"Rest of pop","03-18","Parent SES","Parent 1 highest qual (NQF)","NULL",192420,"NULL",2018,8631
NA,"Rest of pop","03-18","Parent SES","Parent 1 income bands","A:NULL",2733,"NULL",2018,8632
NA,"Rest of pop","03-18","Parent SES","Parent 1 income bands","B:Loss",3741,"NULL",2018,8633
NA,"Rest of pop","03-18","Parent SES","Parent 1 income bands","C:Zero Income",24153,"NULL",2018,8634
NA,"Rest of pop","03-18","Parent SES","Parent 1 income bands","D:$1-$5,000",29913,"NULL",2018,8635
NA,"Rest of pop","03-18","Parent SES","Parent 1 income bands","E:$5,001-$10,000",30882,"NULL",2018,8636
NA,"Rest of pop","03-18","Parent SES","Parent 1 income bands","F:$10,001-$15,000",35826,"NULL",2018,8637
NA,"Rest of pop","03-18","Parent SES","Parent 1 income bands","G:$15,001-$20,000",37947,"NULL",2018,8638
NA,"Rest of pop","03-18","Parent SES","Parent 1 income bands","H:$20,001-$25,000",38550,"NULL",2018,8639
NA,"Rest of pop","03-18","Parent SES","Parent 1 income bands","I:$25,001-$30,000",43161,"NULL",2018,8640
NA,"Rest of pop","03-18","Parent SES","Parent 1 income bands","J:$30,001-$35,000",44304,"NULL",2018,8641
NA,"Rest of pop","03-18","Parent SES","Parent 1 income bands","K:$35,001-$40,000",45564,"NULL",2018,8642
NA,"Rest of pop","03-18","Parent SES","Parent 1 income bands","L:$40,001-$50,000",115863,"NULL",2018,8643
NA,"Rest of pop","03-18","Parent SES","Parent 1 income bands","M:$50,001-$60,000",123747,"NULL",2018,8644
NA,"Rest of pop","03-18","Parent SES","Parent 1 income bands","N:$60,001-$70,000",81393,"NULL",2018,8645
NA,"Rest of pop","03-18","Parent SES","Parent 1 income bands","NULL",187269,"NULL",2018,8646
NA,"Rest of pop","03-18","Parent SES","Parent 1 income bands","O:$70,001-$100,000",88983,"NULL",2018,8647
NA,"Rest of pop","03-18","Parent SES","Parent 1 income bands","P:$100,001-$150,000",29352,"NULL",2018,8648
NA,"Rest of pop","03-18","Parent SES","Parent 1 income bands","Q:$150,001 or More",16326,"NULL",2018,8649
NA,"Rest of pop","03-18","Parent SES","Parent 1 income bands","Z:Not Stated",204,"NULL",2018,8650
NA,"Rest of pop","03-18","Parent SES","Parent 1 main benefit","0",565500,"NULL",2018,8651
NA,"Rest of pop","03-18","Parent SES","Parent 1 main benefit","1",414414,"NULL",2018,8652
NA,"Rest of pop","03-18","Parent SES","Parent 1 total income","NULL",979911,"12847984509",2018,8653
NA,"Rest of pop","03-18","Parent SES","Parent 1 wages/salary","0",462429,"NULL",2018,8654
NA,"Rest of pop","03-18","Parent SES","Parent 1 wages/salary","1",517482,"NULL",2018,8655
NA,"Rest of pop","03-18","Parent SES","Parent 2 highest qual (NQF)","0",63090,"NULL",2018,8656
NA,"Rest of pop","03-18","Parent SES","Parent 2 highest qual (NQF)","1",68481,"NULL",2018,8657
NA,"Rest of pop","03-18","Parent SES","Parent 2 highest qual (NQF)","2",69855,"NULL",2018,8658
NA,"Rest of pop","03-18","Parent SES","Parent 2 highest qual (NQF)","3",110631,"NULL",2018,8659
NA,"Rest of pop","03-18","Parent SES","Parent 2 highest qual (NQF)","4",126561,"NULL",2018,8660
NA,"Rest of pop","03-18","Parent SES","Parent 2 highest qual (NQF)","5",77541,"NULL",2018,8661
NA,"Rest of pop","03-18","Parent SES","Parent 2 highest qual (NQF)","6",35286,"NULL",2018,8662
NA,"Rest of pop","03-18","Parent SES","Parent 2 highest qual (NQF)","7",95964,"NULL",2018,8663
NA,"Rest of pop","03-18","Parent SES","Parent 2 highest qual (NQF)","8",43548,"NULL",2018,8664
NA,"Rest of pop","03-18","Parent SES","Parent 2 highest qual (NQF)","9",25767,"NULL",2018,8665
NA,"Rest of pop","03-18","Parent SES","Parent 2 highest qual (NQF)","10",7221,"NULL",2018,8666
NA,"Rest of pop","03-18","Parent SES","Parent 2 highest qual (NQF)","NULL",255972,"NULL",2018,8667
NA,"Rest of pop","03-18","Parent SES","Parent 2 income bands","A:NULL",4953,"NULL",2018,8668
NA,"Rest of pop","03-18","Parent SES","Parent 2 income bands","B:Loss",3342,"NULL",2018,8669
NA,"Rest of pop","03-18","Parent SES","Parent 2 income bands","C:Zero Income",11385,"NULL",2018,8670
NA,"Rest of pop","03-18","Parent SES","Parent 2 income bands","D:$1-$5,000",15039,"NULL",2018,8671
NA,"Rest of pop","03-18","Parent SES","Parent 2 income bands","E:$5,001-$10,000",12174,"NULL",2018,8672
NA,"Rest of pop","03-18","Parent SES","Parent 2 income bands","F:$10,001-$15,000",14058,"NULL",2018,8673
NA,"Rest of pop","03-18","Parent SES","Parent 2 income bands","G:$15,001-$20,000",16827,"NULL",2018,8674
NA,"Rest of pop","03-18","Parent SES","Parent 2 income bands","H:$20,001-$25,000",21339,"NULL",2018,8675
NA,"Rest of pop","03-18","Parent SES","Parent 2 income bands","I:$25,001-$30,000",28884,"NULL",2018,8676
NA,"Rest of pop","03-18","Parent SES","Parent 2 income bands","J:$30,001-$35,000",27456,"NULL",2018,8677
NA,"Rest of pop","03-18","Parent SES","Parent 2 income bands","K:$35,001-$40,000",27306,"NULL",2018,8678
NA,"Rest of pop","03-18","Parent SES","Parent 2 income bands","L:$40,001-$50,000",75483,"NULL",2018,8679
NA,"Rest of pop","03-18","Parent SES","Parent 2 income bands","M:$50,001-$60,000",82635,"NULL",2018,8680
NA,"Rest of pop","03-18","Parent SES","Parent 2 income bands","N:$60,001-$70,000",79107,"NULL",2018,8681
NA,"Rest of pop","03-18","Parent SES","Parent 2 income bands","NULL",248955,"NULL",2018,8682
NA,"Rest of pop","03-18","Parent SES","Parent 2 income bands","O:$70,001-$100,000",155448,"NULL",2018,8683
NA,"Rest of pop","03-18","Parent SES","Parent 2 income bands","P:$100,001-$150,000",89298,"NULL",2018,8684
NA,"Rest of pop","03-18","Parent SES","Parent 2 income bands","Q:$150,001 or More",65907,"NULL",2018,8685
NA,"Rest of pop","03-18","Parent SES","Parent 2 income bands","Z:Not Stated",318,"NULL",2018,8686
NA,"Rest of pop","03-18","Parent SES","Parent 2 main benefit","0",818823,"NULL",2018,8687
NA,"Rest of pop","03-18","Parent SES","Parent 2 main benefit","1",161091,"NULL",2018,8688
NA,"Rest of pop","03-18","Parent SES","Parent 2 total income","NULL",979911,"57575188449",2018,8689
NA,"Rest of pop","03-18","Parent SES","Parent 2 wages/salary","0",473673,"NULL",2018,8690
NA,"Rest of pop","03-18","Parent SES","Parent 2 wages/salary","1",506241,"NULL",2018,8691
NA,"Rest of pop","03-18","Socio-economic background","Highest qualification (NQF)","0",48387,"NULL",2018,8692
NA,"Rest of pop","03-18","Socio-economic background","Highest qualification (NQF)","1",60528,"NULL",2018,8693
NA,"Rest of pop","03-18","Socio-economic background","Highest qualification (NQF)","2",62244,"NULL",2018,8694
NA,"Rest of pop","03-18","Socio-economic background","Highest qualification (NQF)","3",44490,"NULL",2018,8695
NA,"Rest of pop","03-18","Socio-economic background","Highest qualification (NQF)","4",2421,"NULL",2018,8696
NA,"Rest of pop","03-18","Socio-economic background","Highest qualification (NQF)","5",2871,"NULL",2018,8697
NA,"Rest of pop","03-18","Socio-economic background","Highest qualification (NQF)","6",156,"NULL",2018,8698
NA,"Rest of pop","03-18","Socio-economic background","Highest qualification (NQF)","7",162,"NULL",2018,8699
NA,"Rest of pop","03-18","Socio-economic background","Highest qualification (NQF)","8",39,"NULL",2018,8700
NA,"Rest of pop","03-18","Socio-economic background","Highest qualification (NQF)","9",18,"NULL",2018,8701
NA,"Rest of pop","03-18","Socio-economic background","Highest qualification (NQF)","NULL",758595,"NULL",2018,8702
NA,"Rest of pop","03-18","Socio-economic background","Income bands","A:NULL",742239,"NULL",2018,8703
NA,"Rest of pop","03-18","Socio-economic background","Income bands","B:Loss",1662,"NULL",2018,8704
NA,"Rest of pop","03-18","Socio-economic background","Income bands","C:Zero Income",84927,"NULL",2018,8705
NA,"Rest of pop","03-18","Socio-economic background","Income bands","D:$1-$5,000",73638,"NULL",2018,8706
NA,"Rest of pop","03-18","Socio-economic background","Income bands","E:$5,001-$10,000",30633,"NULL",2018,8707
NA,"Rest of pop","03-18","Socio-economic background","Income bands","F:$10,001-$15,000",17862,"NULL",2018,8708
NA,"Rest of pop","03-18","Socio-economic background","Income bands","G:$15,001-$20,000",9438,"NULL",2018,8709
NA,"Rest of pop","03-18","Socio-economic background","Income bands","H:$20,001-$25,000",5205,"NULL",2018,8710
NA,"Rest of pop","03-18","Socio-economic background","Income bands","I:$25,001-$30,000",3558,"NULL",2018,8711
NA,"Rest of pop","03-18","Socio-economic background","Income bands","J:$30,001-$35,000",2880,"NULL",2018,8712
NA,"Rest of pop","03-18","Socio-economic background","Income bands","K:$35,001-$40,000",2229,"NULL",2018,8713
NA,"Rest of pop","03-18","Socio-economic background","Income bands","L:$40,001-$50,000",2601,"NULL",2018,8714
NA,"Rest of pop","03-18","Socio-economic background","Income bands","M:$50,001-$60,000",663,"NULL",2018,8715
NA,"Rest of pop","03-18","Socio-economic background","Income bands","N:$60,001-$70,000",684,"NULL",2018,8716
NA,"Rest of pop","03-18","Socio-economic background","Income bands","O:$70,001-$100,000",492,"NULL",2018,8717
NA,"Rest of pop","03-18","Socio-economic background","Income bands","P:$100,001-$150,000",129,"NULL",2018,8718
NA,"Rest of pop","03-18","Socio-economic background","Income bands","Q:$150,001 or More",102,"NULL",2018,8719
NA,"Rest of pop","03-18","Socio-economic background","Income bands","Z:Not Stated",978,"NULL",2018,8720
NA,"Rest of pop","03-18","Socio-economic background","NZDep","1",96312,"NULL",2018,8721
NA,"Rest of pop","03-18","Socio-economic background","NZDep","2",89328,"NULL",2018,8722
NA,"Rest of pop","03-18","Socio-economic background","NZDep","3",86514,"NULL",2018,8723
NA,"Rest of pop","03-18","Socio-economic background","NZDep","4",85908,"NULL",2018,8724
NA,"Rest of pop","03-18","Socio-economic background","NZDep","5",83859,"NULL",2018,8725
NA,"Rest of pop","03-18","Socio-economic background","NZDep","6",85533,"NULL",2018,8726
NA,"Rest of pop","03-18","Socio-economic background","NZDep","7",87318,"NULL",2018,8727
NA,"Rest of pop","03-18","Socio-economic background","NZDep","8",89757,"NULL",2018,8728
NA,"Rest of pop","03-18","Socio-economic background","NZDep","9",97182,"NULL",2018,8729
NA,"Rest of pop","03-18","Socio-economic background","NZDep","10",127164,"NULL",2018,8730
NA,"Rest of pop","03-18","Socio-economic background","NZDep","NULL",51045,"NULL",2018,8731
NA,"Rest of pop","03-18","Socio-economic background","Receipt of wages/salary","0",861951,"NULL",2018,8732
NA,"Rest of pop","03-18","Socio-economic background","Receipt of wages/salary","1",117963,"NULL",2018,8733
NA,"Rest of pop","03-18","Socio-economic background","Receiving main benefit","0",969675,"NULL",2018,8734
NA,"Rest of pop","03-18","Socio-economic background","Receiving main benefit","1",10242,"NULL",2018,8735
NA,"Rest of pop","03-18","Socio-economic background","Total income","NULL",979911,"1429524549",2018,8736
NA,"Rest of pop","19-44","Demographics","Ethnicity - Asian","0",1304703,"NULL",2018,8737
NA,"Rest of pop","19-44","Demographics","Ethnicity - Asian","1",389970,"NULL",2018,8738
NA,"Rest of pop","19-44","Demographics","Ethnicity - European","0",649083,"NULL",2018,8739
NA,"Rest of pop","19-44","Demographics","Ethnicity - European","1",1045593,"NULL",2018,8740
NA,"Rest of pop","19-44","Demographics","Ethnicity - Maori","0",1403526,"NULL",2018,8741
NA,"Rest of pop","19-44","Demographics","Ethnicity - Maori","1",291147,"NULL",2018,8742
NA,"Rest of pop","19-44","Demographics","Ethnicity - MELAA","0",1648956,"NULL",2018,8743
NA,"Rest of pop","19-44","Demographics","Ethnicity - MELAA","1",45720,"NULL",2018,8744
NA,"Rest of pop","19-44","Demographics","Ethnicity - Other","0",1665420,"NULL",2018,8745
NA,"Rest of pop","19-44","Demographics","Ethnicity - Other","1",29253,"NULL",2018,8746
NA,"Rest of pop","19-44","Demographics","Ethnicity - Pacific","0",1542657,"NULL",2018,8747
NA,"Rest of pop","19-44","Demographics","Ethnicity - Pacific","1",152016,"NULL",2018,8748
NA,"Rest of pop","19-44","Demographics","Has a dependent child","0",1021896,"NULL",2018,8749
NA,"Rest of pop","19-44","Demographics","Has a dependent child","1",672777,"NULL",2018,8750
NA,"Rest of pop","19-44","Demographics","Has ever had a child","0",1001016,"NULL",2018,8751
NA,"Rest of pop","19-44","Demographics","Has ever had a child","1",693657,"NULL",2018,8752
